level,code,description,x_position,page
2,4268,Set-Aside for Medi-Cal Long-Term Care Rates - DOF USE ONLY,139.5800018310547,10
2,4270,California Medical Assistance Commission,139.5800018310547,10
2,4280,Managed Risk Medical Insurance Board (Abolished 7/1/14),139.5800018310547,10
2,4300,Department of Developmental Services,139.5800018310547,10
3,4310,Department of Developmental Services – Headquarters,175.5800018310547,10
3,4320,State Hospitals,175.5800018310547,10
3,4330,Agnews State Hospital (DS) (Abolished 15/16),211.61000061035156,10
3,4340,Camarillo State Hospital (Renum to 4480) - DO NOT USE,211.61000061035156,10
3,4350,Fairview State Hospital,211.61000061035156,10
3,4360,Napa State Hospital-(DS) (Renum to 4500) - DO NOT USE,211.61000061035156,10
3,4370,Frank D. Lanterman State Hospital (Formerly Pacific State Hospital),211.61000061035156,10
3,4380,Patton State Hospital-(DS) (Renum to 4510) - DO NOT USE,211.61000061035156,10
3,4390,Porterville State Hospital,211.61000061035156,10
3,4400,Sonoma State Hospital,211.61000061035156,10
3,4410,Stockton State Hospital (Renum to 4520) - DO NOT USE,211.61000061035156,10
3,4420,Northern California Facility - Yuba City (DDS) (Abolished –facility closed,211.61000061035156,10
3,4430,Southern California Facility – Cathedral City (DDS),211.61000061035156,10
2,4440,Department of State Hospitals,139.5800018310547,10
3,4450,Department of State Hospitals,175.5800018310547,10
3,4460,State Hospitals,175.5800018310547,10
3,4470,Department of State Hospitals,211.61000061035156,10
3,4480,Camarillo State Hospital - DO NOT USE,211.61000061035156,10
3,4490,Department of State Hospitals – Metropolitan,211.61000061035156,10
3,4500,Department of State Hospitals – Napa,211.61000061035156,10
3,4510,Department of State Hospitals – Patton,211.61000061035156,10
3,4520,Department of State Hospitals – Stockton,211.61000061035156,10
3,4530,Department of State Hospitals – Vacaville,211.61000061035156,10
3,4540,Department of State Hospitals – Coalinga,211.61000061035156,10
3,4550,Department of State Hospitals – Salinas,211.61000061035156,10
2,4560,Behavioral Health Services Oversight and Accountability Commission.,139.5800018310547,11
2,4600,Department of Developmental and Rehabilitative Services,139.5800018310547,11
2,4700,Department of Community Services and Development,139.5800018310547,11
2,4800,California Health Benefit Exchange,139.5800018310547,11
2,5100,Employment Development Department (Renum. to 7100) - DO NOT USE,139.5800018310547,11
2,5110,Employment Development Dept. - DO NOT USE,139.5800018310547,11
2,5120,California Workforce Investment Board (Renum. to 7120) - DO NOT USE,139.5800018310547,11
2,5160,Department of Rehabilitation,139.5800018310547,11
2,5165,Department of Youth and Community Restoration – DO NOT USE,139.5800018310547,11
2,5170,State Independent Living Council,139.5800018310547,11
2,5175,Department of Child Support Services,139.5800018310547,11
2,5180,Department of Social Services,139.5800018310547,11
2,5181,Social Services - Cost Recoveries - DO NOT USE,139.5800018310547,11
2,5185,Immigration Reform and Control Act. (Info. Display Only),139.5800018310547,11
2,5190,California Health Facilities Commission,139.5800018310547,11
2,5195,"State - Local Realignment, 1991",139.5800018310547,11
2,5196,"State - Local Realignment, 2011",139.5800018310547,11
2,5200,CA Health Facilities Authority (Renum to 0977) - DO NOT USE,139.5800018310547,11
2,5205,Payment of Interest on PMIA Loans - H&HS - DOF USE ONLY,139.5800018310547,11
2,5206,General Obligation Bonds - H&HS - DOF USE ONLY,139.5800018310547,11
2,5208,"Mandated Local Costs, State - H&HS - DOF USE ONLY",139.5800018310547,11
2,5209,Miscellaneous Adjustments - H&HS - DOF USE ONLY,139.5800018310547,11
A,5210,Corrections and Rehabilitation,67.58399963378906,11
1,5220,No Subagency - DO NOT USE,103.58000183105469,11
2,5225,Department of Corrections and Rehabilitation,139.5800018310547,11
3,5226,Corrections and Rehabilitation Headquarters,175.5800018310547,11
2,5227,Board of State and Community Corrections,139.5800018310547,11
2,5228,Safe Neighborhoods and Schools Act,139.5800018310547,11
2,5230,Secretary for Youth and Adult Corrections - DOF USE ONLY,139.5800018310547,11
3,5231,Corrections and Rehabilitation – Corcoran Region,175.5800018310547,11
3,5232,Corrections and Rehabilitation – El Centro Region,175.5800018310547,11
3,5233,Corrections and Rehabilitation – Bakersfield Region,175.5800018310547,11
3,5234,Corrections and Rehabilitation – Sacramento Region,175.5800018310547,11
2,5235,Office of the Inspector General - DOF USE ONLY,139.5800018310547,11
3,5236,Corrections and Rehabilitation – North Coast Region,175.5800018310547,11
3,5237,Corrections and Rehabilitation – Central Coast Region,175.5800018310547,11
3,5238,Corrections and Rehabilitation – Southern Calif. Region,175.5800018310547,11
3,5239,Corrections and Rehabilitation – Central Valley Region,175.5800018310547,11
2,5240,Department of Corrections,139.5800018310547,11
3,5241,Corrections and Rehabilitation – Northern Youth Region,175.5800018310547,11
3,5242,Corrections and Rehabilitation – Southern Youth Region,175.5800018310547,11
3,5250,Department of Corrections – Central Office,175.5800018310547,11
3,5254,Inmate Services,175.5800018310547,11
3,5260,Parole and Community Services Division,175.5800018310547,11
3,5280,Department of Corrections – Headquarters,175.5800018310547,11
3,5388,Richard A. McGee Correctional Training Facility,175.5800018310547,11
3,5281,Corrections-Corcoran Region,175.5800018310547,12
3,5282,Corrections - El Centro Region,175.5800018310547,12
3,5283,Corrections - Bakersfield Region,175.5800018310547,12
3,5284,Corrections - Sacramento Region,175.5800018310547,12
3,5285,Corrections - North Coast Region,175.5800018310547,12
3,5286,Corrections - Central Coast Region,175.5800018310547,12
3,5287,Corrections - Southern California Region,175.5800018310547,12
3,5288,Corrections - Central Valley Region,180.13999938964844,12
3,5290,California Correctional Center,211.61000061035156,12
3,5291,Valley State Prison for Women,211.61000061035156,12
3,5292,"California State Prison - Monterey County, Soledad II",211.61000061035156,12
3,5295,High Desert State Prison,211.61000061035156,12
2,5296,Enhancing Law Enforcement Activities (Retitled 12/2013),139.5800018310547,12
3,5300,California Correctional Institution,211.61000061035156,12
3,5310,California Institution for Men,211.61000061035156,12
3,5320,California Institution for Women,211.61000061035156,12
3,5330,California Medical Facility,211.61000061035156,12
3,5335,California State Prison - Solano County,211.61000061035156,12
3,5340,California Men’s Colony,211.61000061035156,12
3,5341,Pleasant Valley State Prison,211.61000061035156,12
3,5342,Centinela State Prison,211.61000061035156,12
3,5344,California State Prison - Sacramento County,211.61000061035156,12
3,5349,California Substance Abuse Treatment Facility & State Prison,211.61000061035156,12
3,5350,California Rehabilitation Center,211.61000061035156,12
3,5351,"Mule Creek State Prison, Ione (Formerly CA State Prison, Amador",211.61000061035156,12
3,5352,Avenal State Prison,211.61000061035156,12
3,5353,"California State Prison, Los Angeles County",211.61000061035156,12
3,5354,"Chuckawalla Valley State Prison, Riverside County",211.61000061035156,12
3,5355,Ironwood State Prison,211.61000061035156,12
3,5357,R.J. Donovan Correctional Facility at Rock Mountain,211.61000061035156,12
3,5358,"California State Prison, Corcoran",211.61000061035156,12
3,5359,Pelican Bay State Prison,211.61000061035156,12
3,5360,Correctional Training Facility,211.61000061035156,12
3,5361,Central California Women’s Facility,211.61000061035156,12
3,5362,Calipatria State Prison,211.61000061035156,12
3,5363,Wasco State Prison Reception Center,211.61000061035156,12
3,5364,North Kern State Prison,211.61000061035156,12
3,5365,California State Prison – Kern County at Delano II,211.61000061035156,12
3,5370,Deuel Vocational Institution,211.61000061035156,12
3,5380,Folsom State Prison,211.61000061035156,12
3,5384,Northern California Women’s Facility,211.61000061035156,12
3,5390,"California State Prison, San Quentin",211.61000061035156,12
2,5396,Trial Court Security 2011 Realignment,139.5800018310547,12
3,5400,Sierra Conservation Center,211.61000061035156,12
2,5420,Prison Industry Authority,139.5800018310547,12
2,5430,Board of Corrections,139.5800018310547,12
2,5440,Board of Prison Terms (Formerly Community Release Board),139.5800018310547,13
2,5450,Youthful Offender Parole Board,139.5800018310547,13
2,5460,Department of the Youth Authority - DO NOT USE,139.5800018310547,13
3,5465,Youth Authority – Headquarters Region,175.5800018310547,13
3,5470,Department of the Youth Authority – Headquarters,211.61000061035156,13
3,5471,Northern California Youth Correctional Center,211.61000061035156,13
3,5472,Northern Youth Conservation Camps,211.61000061035156,13
3,5473,Youth Authority – Northern Region,175.5800018310547,13
3,5474,Youth Authority – Southern Region,175.5800018310547,13
3,5475,Southern Schools - DO NOT USE,211.61000061035156,13
2,5480,Commission on Correctional Peace Officers’ Standards & Training,139.5800018310547,13
2,5496,Local Community Corrections,139.5800018310547,13
3,5500,Northern Youth Correctional Reception Center and Clinic,211.61000061035156,13
3,5510,Southern Youth Correctional Reception Center and Clinic,211.61000061035156,13
3,5520,El Paso de Robles Youth Correctional Facility,211.61000061035156,13
3,5530,Fred C. Nelles Youth Correctional Facility,211.61000061035156,13
3,5540,Northern Cal Youth Correct Ctr (Abolished) - DO NOT USE,211.61000061035156,13
3,5550,DeWitt Nelson Youth Correctional Facility - DO NOT USE,211.61000061035156,13
3,5555,N.A. Chaderjian Youth Correctional Facility - DO NOT USE,211.61000061035156,13
3,5560,Karl Holton Youth Correctional Drug and Alcohol,211.61000061035156,13
3,5570,O. H. Close Youth Correctional Facility  - DO NOT USE,211.61000061035156,13
3,5580,Preston Youth Correctional Facility – DO NOT USE,211.61000061035156,13
3,5590,Ventura Youth Correctional Facility,211.61000061035156,13
2,5596,District Attorney and Public Defender Services,139.5800018310547,13
3,5600,Heman G. Stark Youth Correctional Facility,211.61000061035156,13
3,5610,Ben Lomond Youth Conservation Camp - DO NOT USE,211.61000061035156,13
3,5620,Mt. Bullion Youth Conservation Camp - DO NOT USE,211.61000061035156,13
3,5630,Oak Glen Camp  - DO NOT USE,211.61000061035156,13
3,5640,Pine Grove Youth Conservation Camp - DO NOT USE,211.61000061035156,13
3,5650,Washington Ridge Youth Conservation Camp -DO NOT USE,211.61000061035156,13
3,5660,Fenner Canyon Youth Conservation Camp - DO NOT USE,211.61000061035156,13
3,5670,El Centro Training Center - DO NOT USE,211.61000061035156,13
3,5680,Silver Lake Pre Parole Center - DO NOT USE,211.61000061035156,13
3,5690,Ventura Public Service and Fire Center - DO NOT USE,211.61000061035156,13
2,5696,Juvenile Justice Programs,139.5800018310547,13
2,5760,Institutional Review Board,139.5800018310547,13
2,5770,Robert B. Presley Institute of Corrections Research and Training (Abolished 1/1/94),139.5800018310547,13
2,5796,Enhancing Law Enforcement Activities Growth  (New 13/14),139.5800018310547,13
2,5990,Federal Immigration Funding - Incarceration,139.5800018310547,13
2,5991,Violent Offender Incarceration and Truth in Sentencing,139.5800018310547,13
2,5995,Payment of Interest on PMIA Loans -YAC - DOF USE ONLY,139.5800018310547,13
2,5996,General Obligation Bonds – Corrections and Rehab - DOF USE ONLY,139.5800018310547,13
2,5998,"Mandated Local Costs, State - YAC - DOF USE ONLY",139.5800018310547,13
2,5999,Miscellaneous Adjustments - YAC - DOF USE ONLY,139.5800018310547,13
A,6000,Education,67.58399963378906,14
1,6010,K-12 Education,103.58000183105469,14
1,6013,"Higher Education (Renum and retitled, 17/18)",103.58000183105469,14
2,6050,"Office of the Secretary for Education, K-12 - DOF USE ONLY",139.5800018310547,14
2,6054,Scholarshare Investment Board,139.5800018310547,14
2,6100,Department of Education,139.5800018310547,14
3,6110,Department of Education—Headquarters,175.5800018310547,14
2,6115,Commission for the Establishment of Academic Content and Performance,139.5800018310547,14
2,6120,California State Library,139.5800018310547,14
2,6125,Education Audit Appeals Panel,139.5800018310547,14
2,6130,California Quality Education Commission,139.5800018310547,14
3,6150,California State Summer School for the Arts (Renum to 6255),175.5800018310547,14
3,6170,State Agency for Surplus Property,175.5800018310547,14
3,6190,Special Schools,175.5800018310547,14
3,6200,California School for the Blind,211.61000061035156,14
3,6210,Diagnostic School for Neurologically,211.61000061035156,14
3,6220,Diagnostic School for Neurologically,211.61000061035156,14
3,6230,Diagnostic School for Neurologically,211.61000061035156,14
3,6240,California School for the Deaf—Fremont,211.61000061035156,14
3,6250,California School for the Deaf—Riverside,211.61000061035156,14
2,6255,California State Summer School for the Arts,139.5800018310547,14
3,6260,Diagnostic Centers,211.61000061035156,14
2,6300,State Contributions to the State Teachers' Retirement System,139.5800018310547,14
2,6305,Retirement Costs for Community Colleges - DOF USE ONLY,139.5800018310547,14
2,6320,"Council on Vocational Education, California State",139.5800018310547,14
2,6330,California Career Resource Network,139.5800018310547,14
2,6340,State School Building Safety Program,139.5800018310547,14
2,6350,School Facilities Aid Program,139.5800018310547,14
2,6360,Commission on Teacher Credentialing,139.5800018310547,14
2,6370,"School Finance Authority, California (Renum to 0985)",139.5800018310547,14
2,6380,Debt Service on Public School Building Bonds,139.5800018310547,14
2,6395,Payment of Interest on PMIA Loans - K-12 - DOF USE ONLY,139.5800018310547,14
2,6396,General Obligation Bonds - K-12 - DOF USE ONLY,139.5800018310547,14
2,6398,"Mandated Local Costs, State - K-12 - DOF USE ONLY",139.5800018310547,14
2,6399,Miscellaneous Adjustments - K-12 - DOF USE ONLY,139.5800018310547,14
2,6405,"Secretary for Child Development and Education, Higher",139.5800018310547,14
2,6420,California Postsecondary Education Commission,139.5800018310547,14
2,6425,Commission for the Review of the Master Plan for Higher Education,139.5800018310547,14
2,6430,CA Education Facilities Authority (Renum to 0989) - DO NOT USE,139.5800018310547,14
2,6440,University of California,139.5800018310547,14
3,6450,University of California,175.5800018310547,14
3,6460,Institute of Appropriate Technology,175.5800018310547,14
2,6441,University of California Auxiliary Fac. - DO NOT USE,139.5800018310547,15
2,6445,California Institute for Regenerative Medicine,139.5800018310547,15
3,6470,Institute of Transportation Studies,175.5800018310547,15
3,6480,Campuses,175.5800018310547,15
3,6490,General Campuses,211.61000061035156,15
3,6491,UC Office of the President (New 15/16),211.61000061035156,15
3,6492,UC Agriculture and Natural Resources (New 15/16),211.61000061035156,15
3,6493,UC Lawrence Livermore National Labs (New 15/16),211.61000061035156,15
3,6500,Berkeley Campus,211.61000061035156,15
3,6501,UC Lawrence Berkeley National Labs (New 15/16),211.61000061035156,15
3,6510,Davis Campus,211.61000061035156,15
3,6511,UC Davis Medical Center (New 15/16),211.61000061035156,15
3,6520,Irvine Campus,211.61000061035156,15
3,6521,UC Irvine Medical Center (New 15/16),211.61000061035156,15
3,6530,Los Angeles Campus,211.61000061035156,15
3,6531,UC Los Angeles Medical Center (New 15/16),211.61000061035156,15
3,6540,Riverside Campus,211.61000061035156,15
3,6550,San Diego Campus,211.61000061035156,15
3,6551,UC San Diego Medical Center (New 15/16),211.61000061035156,15
3,6560,San Francisco Campus,211.61000061035156,15
3,6561,UC San Francisco Medical Center (New 15/16),211.61000061035156,15
3,6570,Santa Barbara Campus,211.61000061035156,15
3,6580,Santa Cruz Campus,211.61000061035156,15
3,6590,Merced Campus (New 15/16),211.61000061035156,15
2,6600,"College of the Law, San Francisco (Retitled, 1/2023)",139.5800018310547,15
2,6610,Total California State University,139.5800018310547,15
3,6620,CSU Statewide Programs,175.5800018310547,15
3,6630,CSU Systemwide Offices,175.5800018310547,15
3,6640,CSU Campuses,175.5800018310547,15
3,6650,"CSU, Bakersfield",211.61000061035156,15
3,6660,"CSU, San Bernardino",211.61000061035156,15
3,6670,"CSU, Stanislaus",211.61000061035156,15
3,6680,"CSU, Chico",211.61000061035156,15
3,6690,"CSU, Dominguez Hills",211.61000061035156,15
3,6700,"CSU, Fresno",211.61000061035156,15
3,6710,"CSU, Fullerton",211.61000061035156,15
3,6720,"CSU, East Bay",211.61000061035156,15
3,6730,"CSU, Humboldt",211.61000061035156,15
3,6740,"CSU, Long Beach",211.61000061035156,15
3,6750,"CSU, Los Angeles",211.61000061035156,15
3,6752,"CSU, Maritime Academy",211.61000061035156,15
3,6756,"CSU, Monterey Bay",211.61000061035156,15
3,6760,"CSU, Northridge",211.61000061035156,15
3,6770,"CSPU, Pomona",211.61000061035156,15
3,6780,"CSU, Sacramento",211.61000061035156,15
3,6790,"CSU, San Diego",211.61000061035156,15
3,6800,"CSU, San Francisco",211.61000061035156,15
1,6025,Higher Education Unallocated Salary Increase - DOF/SCO USE ONLY,103.58000183105469,16
2,6611,California St. University Auxiliary Fac. - DO NOT USE,139.5800018310547,16
2,6645,CSU Health Benefits for Retired Annuitants,139.5800018310547,16
3,6810,"CSU, San Jose",211.61000061035156,16
3,6820,"CPSU, San Luis Obispo",211.61000061035156,16
3,6830,"CSU, Sonoma",211.61000061035156,16
3,6840,"CSU, San Marcos",211.61000061035156,16
3,6850,"CSU, Channel Islands",211.61000061035156,16
2,6860,California Maritime Academy,139.5800018310547,16
2,6870,Board of Governors of the California Community Colleges,139.5800018310547,16
2,6872,Payment of Interest on PMIA Loans - Hi Ed-CC - DOF USE ONLY,139.5800018310547,16
2,6874,General Obligation Bonds - Hi Ed-CC - DOF USE ONLY,139.5800018310547,16
2,6876,State Mandated Local Costs - Hi Ed-CC - DOF USE ONLY,139.5800018310547,16
2,6878,Retirement Costs for Community Colleges - Hi Ed-CC - DOF USE ONLY,139.5800018310547,16
2,6879,Miscellaneous Adjustments - Hi Ed-CC - DOF USE ONLY,139.5800018310547,16
2,6880,Council for Private Postsecondary and Vocational Education,139.5800018310547,16
2,6910,Awards for Innovation in Higher Education (Abolished 6/19) - DO NOT USE,139.5800018310547,16
2,6980,"California Student Aid Commission (Renum/Retitled from 7980, 09/2012)",139.5800018310547,16
2,6990,Other Education - DO NOT USE,139.5800018310547,16
A,7000,Labor and Workforce Development,67.58399963378906,16
1,7010,No Subagency - DO NOT USE,103.58000183105469,16
2,7020,Secretary for Labor and Workforce Development - DOF USE ONLY,139.5800018310547,16
2,7100,Employment Development Department (Renum from 5100),139.5800018310547,16
2,7120,California Workforce Development Board,139.5800018310547,16
2,7300,Agricultural Labor Relations Board (Renum from 8300),139.5800018310547,16
2,7320,"Public Employment Relations Board (Renum from 8320, 09/2012)",139.5800018310547,16
2,7350,Department of Industrial Relations (Renum from 8350),139.5800018310547,16
3,7360,Industrial Relations Unpaid Wage Fund (Renum from 8360),175.5800018310547,16
3,7370,Uninsured Employers Fund (Renum from 8370),175.5800018310547,16
2,7399,General Obligation Bonds – Labor and Workforce Development – DOF USE,139.5800018310547,16
A,7500,"Government Operations (New agency, 13/14)",67.58399963378906,16
2,7501,"Department of Human Resources (Renum from 8380, 09/2012)",139.5800018310547,16
2,7502,"Technology, Department of (Renum/Retitled from 0502, 09/2012)",139.5800018310547,16
2,7503,"State Personnel Board (Renum from 8390, 09/2012)",139.5800018310547,16
2,7504,Office of Data and Innovation,139.5800018310547,16
1,7510,No Subagency – DO NOT USE,103.58000183105469,16
2,7961,CA Educational Development Asst. Network - DO NOT USE,139.5800018310547,16
2,7970,California Student Loan Authority (Renum to 0986) - DO NOT USE,139.5800018310547,16
2,7980,"Student Aid Commission (Renum to 6980, 09/2012) (Abolished 01/01/2013)",139.5800018310547,16
2,7991,Unallocated Salary Increase - DOF USE ONLY,139.5800018310547,16
2,7995,Payment of Interest on PMIA Loans - Hi Ed - DOF USE ONLY,139.5800018310547,16
2,7996,General Obligation Bonds - Hi Ed - DOF USE ONLY,139.5800018310547,16
2,7998,"Mandated Local Costs, State - Hi Ed - DOF USE ONLY",139.5800018310547,16
2,7999,Miscellaneous Adjustments - Hi Ed - DOF USE ONLY,139.5800018310547,16
2,7511,Secretary for Government Operations Agency - DOF USE ONLY,139.5800018310547,17
2,7600,California Department of Tax and Fee Administration (New 17/18),139.5800018310547,17
2,7730,"Franchise Tax Board (Renum from 1730, 09/2012)",139.5800018310547,17
2,7760,"Department of General Services (Renum from 1760, 09/2012)",139.5800018310547,17
2,7870,California Victim Compensation Board (Formerly California Victim Compensation &,139.5800018310547,17
2,7900,"Public Employees' Retirement System (Renum from 1900, 09/2012)",139.5800018310547,17
2,7910,"Office of Administrative Law (Renum from 8910, 09/2012)",139.5800018310547,17
2,7920,"State Teachers' Retirement System (Renum from 1920, 09/2012)",139.5800018310547,17
A,8000,General Government,67.58399963378906,17
1,8010,"Non-Agency Departments (Title change, 17/18)",103.58000183105469,17
2,8100,Office of Criminal Justice Planning (Abolished 1/1/04); (Payments for Prior Years by,139.5800018310547,17
2,8103,Board of Victims' Assistance,139.5800018310547,17
2,8105,Commission for the Revision of the Juvenile Court Law,139.5800018310547,17
2,8110,California Crime Technological Research Foundation - DO NOT USE,139.5800018310547,17
2,8120,Commission on Peace Officer Standards and Training,139.5800018310547,17
2,8140,State Public Defender,139.5800018310547,17
2,8160,Assistance to Counties for Defense of Indigents,139.5800018310547,17
2,8170,Subvention for Guardianship/Conservatorship Proceedings,139.5800018310547,17
2,8180,Payment to Counties for Costs of Homicide Trials,139.5800018310547,17
2,8190,Tort Liability Claims (Merged with 9670) - DO NOT USE,139.5800018310547,17
2,8200,Commission for Economic Development - DO NOT USE,139.5800018310547,17
2,8220,Motion Picture Council,139.5800018310547,17
2,8225,California Entertainment Commission,139.5800018310547,17
2,8250,American Revolution Bicentennial Commission of California,139.5800018310547,17
2,8255,"Bicentennial Commission on the United States, California",139.5800018310547,17
2,8260,California Arts Council,139.5800018310547,17
2,8270,Historic State Capitol Commission,139.5800018310547,17
2,8280,Native American Heritage Commission (Renum to 3780) - DO NOT USE,139.5800018310547,17
2,8290,California Public Broadcasting Commission,139.5800018310547,17
2,8300,Agricultural Labor Relations Board (Renum to 7300) - DO NOT USE,139.5800018310547,17
2,8320,"Public Employment Relations Board (Renum to 7320, 9/2012) (Abolished 1/1/2013)",139.5800018310547,17
2,8340,"Department of Industrial Relations, Total (Abolished 2/15/95)",139.5800018310547,17
2,8350,Department of Industrial Relations (Renum to 7350) - DO NOT USE,139.5800018310547,17
3,8360,Industrial Relations Unpaid Wage Fund  DO NOT USE,175.5800018310547,17
3,8370,Uninsured Employers’ Fund  (Renum to 7370) - DO NOT USE,175.5800018310547,17
2,8380,"Department of Human Resources (Renum to 7501, 09/2012) (Abolished 01/01/2013)",139.5800018310547,17
2,8385,California Citizens Compensation Commission,139.5800018310547,17
2,8390,"State Personnel Board (Renum to 7503, 09/2012) (Abolished 01/01/2013)",139.5800018310547,17
2,8420,"Compensation Insurance Fund, State",139.5800018310547,17
3,8430,State Compensation Insurance Fund,175.5800018310547,17
3,8440,Uninsured Employers,175.5800018310547,17
3,8450,Subsequent Injuries,175.5800018310547,17
3,8460,Disaster Service Workers,175.5800018310547,17
2,8500,"Board of Chiropractic Examiners (Merged into 1110, 13/14) (Abolished 01/01/2013)",139.5800018310547,17
2,8510,Osteopathic Medical Board of California  (Moved to 1485) - DO NOT USE,139.5800018310547,18
2,8530,Board of Pilot Commissioners (Moved to 2670) (Abolished 09/29/2008),139.5800018310547,18
2,8540,California Auctioneer Commission,139.5800018310547,18
2,8550,"California Horse Racing Board (Renum to 1750, 09/2012) (Abolished 01/01/2013)",139.5800018310547,18
2,8560,California Exposition and State Fair,139.5800018310547,18
2,8570,Department of Food and Agriculture,139.5800018310547,18
3,8580,Department of Food and Agriculture - DO NOT USE,175.5800018310547,18
3,8590,Financial Assistance to Local Fairs - DO NOT USE,175.5800018310547,18
3,8600,Financial Assistance to County Fairs - DO NOT USE,211.61000061035156,18
3,8610,Financial Assistance to Local Fairs - DO NOT USE,211.61000061035156,18
2,8620,Fair Political Practices Commission,139.5800018310547,18
2,8640,Political Reform Act of 1974,139.5800018310547,18
2,8650,"Waste Management, Department of (Abolished) - DO NOT USE",139.5800018310547,18
2,8655,Independent Citizens Redistricting Commission - DOF USE ONLY,139.5800018310547,18
2,8660,Public Utilities Commission,139.5800018310547,18
2,8665,"Consumer Power and Conservation Financing Authority, California",139.5800018310547,18
2,8680,State Bar of California (Inactive) – DO NOT USE,139.5800018310547,18
2,8690,Seismic Safety Commission (Renum from 3580),139.5800018310547,18
2,8700,California Victim Compensation & Government Claims Board (Formerly Board of,139.5800018310547,18
3,8710,Board of Control - Operations - DO NOT USE,175.5800018310547,18
3,8720,Indemnification of Private Citizens - DO NOT USE,175.5800018310547,18
2,8730,Commission on State Finance,139.5800018310547,18
2,8735,California Tax Reform Study Commission - DO NOT USE,139.5800018310547,18
2,8740,California Information Systems Implementation Committee,139.5800018310547,18
2,8750,Commission on Local Government for the 21,139.5800018310547,18
2,8760,Commission of the Californias,139.5800018310547,18
2,8770,Electricity Oversight Board,139.5800018310547,18
2,8780,Milton Marks “Little Hoover” Commission on California State Government,139.5800018310547,18
2,8790,California Commission on Disability Access – DO NOT USE—ABOLISHED,139.5800018310547,18
2,8800,Membership in Interstate Organizations,139.5800018310547,18
2,8810,Retail Credit Advisory Committee,139.5800018310547,18
2,8815,Youth Empowerment Commission (Abolished 07/10/2023),139.5800018310547,18
2,8820,Commission on the Status of Women and Girls,139.5800018310547,18
2,8825,Commission on Asian and Pacific Islander American Affairs,139.5800018310547,18
2,8830,"Law Revision Commission, California",139.5800018310547,18
2,8840,"Commission on Uniform State Laws (Merged into 0160, 13/14) (Abolished 01/01/2013)",139.5800018310547,18
2,8850,Public Works Board,139.5800018310547,18
2,8855,California State Auditor’s Office,139.5800018310547,18
2,8856,Office of the California Analyst,139.5800018310547,18
2,8857,Fiscal & Management Audit of State Controller - DO NOT USE,139.5800018310547,18
2,8860,Department of Finance,139.5800018310547,18
3,8870,Department of Finance - Operations - DO NOT USE,175.5800018310547,18
2,8880,Financial Information System for California,139.5800018310547,18
2,8882,Constitutional Revision Commission,139.5800018310547,18
2,8885,"States Mandates, Commission on",139.5800018310547,18
2,8890,Office of Information Technology - DO NOT USE,139.5800018310547,19
2,8900,Intergovernmental Board on Electronic Data Processing,139.5800018310547,19
2,8910,"Office of Administrative Law (Renum to 7910, 09/2012) (Abolished 01/01/2013)",139.5800018310547,19
1,8915,"Economic Opportunity, Department of (Renum to 4700) - DO NOT USE",103.58000183105469,19
2,8920,Santa Monica Mountains Comprehensive Planning Commission,139.5800018310547,19
2,8940,Military Department,139.5800018310547,19
2,8950,Department of Veterans Affairs,139.5800018310547,19
2,8951,Federal Per Diem for Veterans Housing,139.5800018310547,19
2,8955,Department of Veterans Affairs,139.5800018310547,19
3,8960,Veteran's Home of California – Yountville,175.5800018310547,19
3,8965,Veteran's Home of California – Barstow,175.5800018310547,19
3,8966,Veteran’s Home of California - Chula Vista,175.5800018310547,19
3,8967,Veteran's Home of California – Greater Los Angeles Ventura County – DO,175.5800018310547,19
2,8970,Vietnam Veterans Memorial Commission - DO NOT USE (Abolished 9/6/13),139.5800018310547,19
2,8975,Veterans Memorial Commission,139.5800018310547,19
2,8990,Pending New Organization - DOF USE ONLY,139.5800018310547,19
2,8994,State Mandated Local Costs - DOF USE ONLY,139.5800018310547,19
2,8996,Payment of Interest on PMIA Loans -General Government- DOF USE ONLY,139.5800018310547,19
2,8998,General Obligation Bonds - General Government - DOF USE ONLY,139.5800018310547,19
2,8999,Miscellaneous Adjustments - General Government - DOF USE ONLY,139.5800018310547,19
1,9010,"Tax Relief/Local Government (Title change, 17/18)",103.58000183105469,19
2,9100,Tax Relief,139.5800018310547,19
3,9110,Sr Citizens Property Tax Assistance,175.5800018310547,19
3,9120,Sr Citizens Property Tax Deferral Program,175.5800018310547,19
3,9130,Sr Citizens Renters’ Tax Assistance,175.5800018310547,19
3,9140,Personal Property Tax Relief,175.5800018310547,19
3,9150,Homeowners Property Tax Relief,175.5800018310547,19
3,9160,Subventions for Open Space,175.5800018310547,19
3,9170,Payments to Local Government for Sales and Property Tax Revenue  Loss,175.5800018310547,19
3,9180,Renters Tax Relief,175.5800018310547,19
3,9190,Substandard Housing,175.5800018310547,19
3,9200,Alternate Energy Tax Credit Refund,175.5800018310547,19
2,9210,Local Government Financing,139.5800018310547,19
3,9220,Aid to Counties,175.5800018310547,19
3,9230,Aid to Education—K-12,175.5800018310547,19
3,9240,Aid to Community Colleges,175.5800018310547,19
3,9250,Aid to Cities,175.5800018310547,19
3,9260,Aid to Special Districts,175.5800018310547,19
3,9270,Local Agency Emergency Loan Program,175.5800018310547,19
3,9280,Local Agency Indebtedness Loan Program,175.5800018310547,19
2,9285,Trial Court Security – Court Construction (New 14/15),139.5800018310547,19
